T05,International migrants and refugees,,,,,
554,New Zealand,2015,"Asylum seekers, including pending cases (number)",251,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
554,New Zealand,2015,Total population of concern to UNHCR (number),"1,600",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
554,New Zealand,2020,International migrant stock: Both sexes (number),"1,381,724",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
554,New Zealand,2020,International migrant stock: Both sexes (% total population),28.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
554,New Zealand,2020,International migrant stock: Male (% total Population),28.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
554,New Zealand,2020,International migrant stock: Female (% total Population),29.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
554,New Zealand,2020,Total refugees and people in refugee-like situations (number),"1,769",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
554,New Zealand,2020,"Asylum seekers, including pending cases (number)",569,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
554,New Zealand,2020,Total population of concern to UNHCR (number),"2,338",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
554,New Zealand,2021,Total refugees and people in refugee-like situations (number),"1,785",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
554,New Zealand,2021,"Asylum seekers, including pending cases (number)",662,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
554,New Zealand,2021,Total population of concern to UNHCR (number),"2,447",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
558,Nicaragua,2005,International migrant stock: Both sexes (number),"34,919",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
558,Nicaragua,2005,International migrant stock: Both sexes (% total population),0.6,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
558,Nicaragua,2005,International migrant stock: Male (% total Population),0.7,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
558,Nicaragua,2005,International migrant stock: Female (% total Population),0.6,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
558,Nicaragua,2005,Total refugees and people in refugee-like situations (number),227,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
558,Nicaragua,2005,"Asylum seekers, including pending cases (number)",1,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
558,Nicaragua,2005,Total population of concern to UNHCR (number),228,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
558,Nicaragua,2010,International migrant stock: Both sexes (number),"37,345",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
558,Nicaragua,2010,International migrant stock: Both sexes (% total population),0.6,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
558,Nicaragua,2010,International migrant stock: Male (% total Population),0.7,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
558,Nicaragua,2010,International migrant stock: Female (% total Population),0.6,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
558,Nicaragua,2010,Total refugees and people in refugee-like situations (number),64,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
558,Nicaragua,2010,"Asylum seekers, including pending cases (number)",12,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
558,Nicaragua,2010,Total population of concern to UNHCR (number),76,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
558,Nicaragua,2015,International migrant stock: Both sexes (number),"40,261",Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
558,Nicaragua,2015,International migrant stock: Both sexes (% total population),0.6,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
558,Nicaragua,2015,International migrant stock: Male (% total Population),0.7,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
558,Nicaragua,2015,International migrant stock: Female (% total Population),0.6,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
558,Nicaragua,2015,Total refugees and people in refugee-like situations (number),361,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
558,Nicaragua,2015,"Asylum seekers, including pending cases (number)",25,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
558,Nicaragua,2015,Other of concern to UNHCR (number),5,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
558,Nicaragua,2015,Total population of concern to UNHCR (number),391,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
